k,x_bip[k] (±1),x_uni[k] (V),y_c[k-1] (V),e[k] (V),v[k] (V),u[k] (±1),DAC y_abs[k] (V),Bit (1 when LOW=0V)
0,0.0,0.9,0.0,0.0,0.0,1.0,1.8,0
1,0.098,0.9882,0.9,-0.8118,-0.8118,-1.0,0.0,1
2,0.1951,1.0756,-0.9,1.0756,0.2638,1.0,1.8,0
3,0.2903,1.1613,0.9,-0.6387,-0.3749,-1.0,0.0,1
4,0.3827,1.2444,-0.9,1.2444,0.8695,1.0,1.8,0
5,0.4714,1.3243,0.9,-0.4757,0.3937,1.0,1.8,0
6,0.5556,1.4,0.9,-0.4,-0.0063,-1.0,0.0,1
7,0.6344,1.471,-0.9,1.471,1.4647,1.0,1.8,0
8,0.7071,1.5364,0.9,-0.2636,1.2011,1.0,1.8,0
9,0.773,1.5957,0.9,-0.2043,0.9968,1.0,1.8,0
10,0.8315,1.6483,0.9,-0.1517,0.8451,1.0,1.8,0
11,0.8819,1.6937,0.9,-0.1063,0.7388,1.0,1.8,0
12,0.9239,1.7315,0.9,-0.0685,0.6703,1.0,1.8,0
13,0.9569,1.7612,0.9,-0.0388,0.6316,1.0,1.8,0
14,0.9808,1.7827,0.9,-0.0173,0.6143,1.0,1.8,0
15,0.9952,1.7957,0.9,-0.0043,0.61,1.0,1.8,0
16,1.0,1.8,0.9,0.0,0.61,1.0,1.8,0
17,0.9952,1.7957,0.9,-0.0043,0.6056,1.0,1.8,0
18,0.9808,1.7827,0.9,-0.0173,0.5883,1.0,1.8,0
19,0.9569,1.7612,0.9,-0.0388,0.5496,1.0,1.8,0
20,0.9239,1.7315,0.9,-0.0685,0.4811,1.0,1.8,0
21,0.8819,1.6937,0.9,-0.1063,0.3748,1.0,1.8,0
22,0.8315,1.6483,0.9,-0.1517,0.2231,1.0,1.8,0
23,0.773,1.5957,0.9,-0.2043,0.0188,1.0,1.8,0
24,0.7071,1.5364,0.9,-0.2636,-0.2448,-1.0,0.0,1
25,0.6344,1.471,-0.9,1.471,1.2262,1.0,1.8,0
26,0.5556,1.4,0.9,-0.4,0.8262,1.0,1.8,0
27,0.4714,1.3243,0.9,-0.4757,0.3505,1.0,1.8,0
28,0.3827,1.2444,0.9,-0.5556,-0.2051,-1.0,0.0,1
29,0.2903,1.1613,-0.9,1.1613,0.9561,1.0,1.8,0
30,0.1951,1.0756,0.9,-0.7244,0.2317,1.0,1.8,0
31,0.098,0.9882,0.9,-0.8118,-0.5801,-1.0,0.0,1
32,0.0,0.9,-0.9,0.9,0.3199,1.0,1.8,0
33,-0.098,0.8118,0.9,-0.9882,-0.6683,-1.0,0.0,1
34,-0.1951,0.7244,-0.9,0.7244,0.0561,1.0,1.8,0
35,-0.2903,0.6387,0.9,-1.1613,-1.1051,-1.0,0.0,1
36,-0.3827,0.5556,-0.9,0.5556,-0.5495,-1.0,0.0,1
37,-0.4714,0.4757,-0.9,0.4757,-0.0738,-1.0,0.0,1
38,-0.5556,0.4,-0.9,0.4,0.3262,1.0,1.8,0
39,-0.6344,0.329,0.9,-1.471,-1.1448,-1.0,0.0,1
40,-0.7071,0.2636,-0.9,0.2636,-0.8812,-1.0,0.0,1
41,-0.773,0.2043,-0.9,0.2043,-0.6769,-1.0,0.0,1
42,-0.8315,0.1517,-0.9,0.1517,-0.5252,-1.0,0.0,1
43,-0.8819,0.1063,-0.9,0.1063,-0.4189,-1.0,0.0,1
44,-0.9239,0.0685,-0.9,0.0685,-0.3504,-1.0,0.0,1
45,-0.9569,0.0388,-0.9,0.0388,-0.3117,-1.0,0.0,1
46,-0.9808,0.0173,-0.9,0.0173,-0.2944,-1.0,0.0,1
47,-0.9952,0.0043,-0.9,0.0043,-0.29,-1.0,0.0,1
48,-1.0,0.0,-0.9,0.0,-0.29,-1.0,0.0,1
49,-0.9952,0.0043,-0.9,0.0043,-0.2857,-1.0,0.0,1
50,-0.9808,0.0173,-0.9,0.0173,-0.2684,-1.0,0.0,1
51,-0.9569,0.0388,-0.9,0.0388,-0.2297,-1.0,0.0,1
52,-0.9239,0.0685,-0.9,0.0685,-0.1612,-1.0,0.0,1
53,-0.8819,0.1063,-0.9,0.1063,-0.0549,-1.0,0.0,1
54,-0.8315,0.1517,-0.9,0.1517,0.0968,1.0,1.8,0
55,-0.773,0.2043,0.9,-1.5957,-1.4989,-1.0,0.0,1
56,-0.7071,0.2636,-0.9,0.2636,-1.2353,-1.0,0.0,1
57,-0.6344,0.329,-0.9,0.329,-0.9063,-1.0,0.0,1
58,-0.5556,0.4,-0.9,0.4,-0.5063,-1.0,0.0,1
59,-0.4714,0.4757,-0.9,0.4757,-0.0305,-1.0,0.0,1
60,-0.3827,0.5556,-0.9,0.5556,0.5251,1.0,1.8,0
61,-0.2903,0.6387,0.9,-1.1613,-0.6362,-1.0,0.0,1
62,-0.1951,0.7244,-0.9,0.7244,0.0882,1.0,1.8,0
63,-0.098,0.8118,0.9,-0.9882,-0.9,-1.0,0.0,1
